expenditure,wealth,income,pop,pop_dens,perc_intergov,grow_rate
316,41692,13146,3157,49,6.3,20.6
345,58689,21032,28203,578,7.1,13.4
298,55629,15783,4572,94,24,-4
480,58867,16887,64628,1306,9,3.9
301,52979,20227,27649,483,10.5,8
187,34141,13635,2699,65,8.6,7.7
216,55794,19526,5966,108,15,4.6
545,65647,12814,2032,33,7.7,11.8
309,35390,13788,3404,59,7.6,13.5
59,35613,14207,1234,41,34.7,0.7
394,43155,8882,390,11,40.4,-16.5
398,19651,8159,831,23,22.2,-8
165,25630,12092,1198,27,35.8,7.2
200,19722,10524,1249,37,20.2,0.1
162,22791,10747,860,22,46.9,2.4
256,32952,9110,488,14,23.4,5.9
241,17133,8631,1548,43,17.3,2.9
697,48050,9975,227,6,44.5,-9.7
190,21620,9177,596,17,17.6,-7.8
205,28629,10629,636,25,30.9,20.4
188,14378,5958,2577,73,9.5,5.4
296,26598,7425,674,19,24.6,-2.6
206,18665,8890,1062,29,30.6,11
176,36408,11123,1715,51,17.5,1.3
307,14350,8150,2189,60,39.8,1
201,18003,11074,1649,45,22.1,-6.4
376,30848,9372,516,16,41.3,1.4
717,39688,10851,475,14,37.8,-3.6
214,18836,10030,1523,41,18.4,2.6
329,32881,9445,1004,29,21.3,-9.8
267,22387,7871,724,20,24.7,6.9
460,41044,9507,1186,34,13.8,4.5
203,17852,10098,1964,56,23.4,-0.3
440,32815,11127,328,11,25,-7.7
133,32658,11271,2872,83,13.6,-0.5
505,47513,9139,261,7,38.1,-22.4
195,31781,11560,1423,39,23.7,-1.6
221,16701,7819,1144,32,23.3,0.5
208,25143,11381,2808,68,16.7,20.9
240,37459,16976,5006,197,8.7,0
184,35759,14247,12325,363,9.7,0.6
177,23089,9769,5715,73,12.9,12.6
201,27226,12269,6277,256,17.2,1
152,29660,13447,3717,885,4.4,2.2
147,28329,12853,7203,219,10.9,-2.2
234,36083,12954,6148,198,4,4.5
203,26880,9630,2214,48,16.5,26.3
166,31446,13167,5639,123,13.5,6
265,20457,10293,1930,79,13.8,29.5
376,152529,10167,620,7,11.2,-13.3
141,20023,10118,2037,55,19.8,28
242,46730,16855,29319,1058,21.2,-0.8
275,36572,16091,26632,510,7.2,-1.9
199,29910,11131,5516,61,12.8,13.3
123,18325,10108,6308,89,12.2,-3
269,21663,11829,2210,43,13.2,12.5
194,25431,10084,1095,27,14,-0.4
263,33976,8863,737,14,16.1,3.4
213,19222,7482,1727,48,14.4,7.9
137,23054,10332,1313,38,13.7,-0.5
340,25331,10064,1015,25,15.5,6.5
637,112196,13672,1120,25,10.9,13.5
483,27864,9540,847,18,17,-11.1
170,31998,10184,1232,24,9,1.2
255,19210,9131,2054,51,18.6,9.7
198,25999,10752,2105,42,16.9,3.8
198,22840,10414,2078,54,30.3,-4
261,31867,8144,590,16,23.7,9.6
194,20392,8683,861,27,16.4,9.3
239,17415,6896,1283,35,21.3,18
105,28754,9804,706,24,16.9,10.5
469,34471,11923,482,15,26.8,-17.5
249,23709,9266,2394,59,12.3,13.6
551,50359,10823,712,18,15.8,-7.7
247,21410,8397,1145,31,23.8,24.4
229,24579,10776,862,24,10.1,-8.2
196,25196,13034,1973,67,20.9,-6.2
416,26150,11016,767,24,13.3,-6.2
205,24522,11654,1366,50,24.4,-19.2
96,22960,10868,3358,96,20.9,0.2
155,30007,10886,715,22,16.4,27
228,32652,9442,451,25,20.2,-21.5
316,61313,8352,295,8,16.8,32.5
140,21469,10281,2728,76,16.4,7.3
109,44354,12690,2365,80,10.9,1.8
84,21571,11182,3168,150,11.1,33.5
201,27634,9877,2162,66,13.6,17
179,17977,9403,1905,54,7.4,14.2
94,27146,15481,2694,124,10.3,10.4
188,32208,11551,1857,47,23.8,-2.8
185,24287,10777,1412,42,14.5,1.1
239,50416,11580,1071,30,19.2,11.3
142,16566,10603,1950,80,17.6,9.5
127,22497,10556,1105,69,17.6,5.1
136,25395,10191,1311,71,16.2,13.8
107,14888,7626,2563,94,18.8,118.5
316,70474,12454,1210,31,19.1,7.1
187,36648,20105,3466,166,11.5,-3.4
233,29872,12932,1526,42,11,3.1
275,28361,11041,816,28,17.5,9.4
281,42765,14585,2983,104,8.9,13.7
115,44591,13064,1065,54,33.2,4.7
177,26063,11188,2403,55,24.5,2.8
205,24650,9398,1050,41,18.8,19.6
185,25727,13358,1791,96,13.5,-0.3
217,24941,10477,1324,32,19.2,3.7
206,20974,9285,1538,45,20.7,1.1
264,25881,11261,1052,29,15.1,6.1
171,31681,12492,4426,97,17.7,-6.3
187,19153,11309,3531,105,11.7,-1.1
249,23033,8694,840,24,13.1,13.6
236,112637,13420,2881,44,13.8,-5.9
274,32752,10284,520,15,12.4,-4.5
224,20621,9135,1472,41,15.8,-0.7
176,36939,12464,1462,236,8.8,-6.4
174,40676,14136,4147,88,15.5,-0.5
207,36200,18256,5525,192,6.8,-3.9
257,19006,9325,1600,44,15.2,-4.4
155,15723,9681,2172,60,13.3,6.2
177,30345,12679,3661,78,5,-6.8
153,23216,10050,1729,40,12.4,6.1
235,31045,15220,1298,70,9.5,-8.4
363,40306,10352,1106,31,13.5,-9.3
331,42922,12862,2309,55,16.4,1.7
176,23444,10994,2597,71,13.6,-1.3
66,25063,11510,3772,97,16.2,-2
150,19241,8930,3531,108,9.2,14.2
211,25617,9690,2924,60,12.3,-6.7
222,29211,12976,2567,69,12.7,-2.9
270,25120,8979,830,23,11.3,13.4
171,19332,9530,1794,39,10.8,15.7
248,22531,9784,1066,30,15.5,0.4
173,35087,11794,1760,41,9.8,5.3
138,18065,11101,1355,100,13.4,2.2
249,18799,10395,816,32,23.4,-7.1
175,33353,16312,7585,170,13.6,-0.7
182,17254,10968,2607,69,14.5,-3.4
167,19812,10239,2561,52,12.4,4.3
206,31868,18188,7401,332,10.3,-2.6
184,16454,10171,1995,45,22.1,-1.7
111,31554,13821,8796,285,19.5,1.8
171,19747,11811,11568,249,10.7,-0.1
220,26759,9823,954,23,19.7,-0.5
119,24997,12208,3109,82,20.3,-2.6
152,25118,10167,2212,50,16.1,22.2
129,40892,12450,1928,58,15.6,9.7
267,23881,9914,882,24,17.8,8.4
227,23745,9727,1566,32,17.7,19.4
305,38055,7501,323,11,28.2,24.4
135,25334,12462,4293,58,13.8,6.5
206,24198,10535,2962,48,12.4,17.7
385,27460,13528,489,19,22.1,2.7
383,34842,8700,812,21,21.6,1.6
144,28814,11255,1865,41,11.5,11.8
147,23666,11491,2060,73,14.4,18.4
112,29641,14539,4092,97,19.3,1
104,27151,11097,2365,41,17.6,6.4
226,24548,5676,761,20,25.7,21.3
195,22822,8068,754,26,21.6,2.2
213,24165,10749,1742,41,18.9,12.5
175,22314,9385,1132,32,20.1,16.9
167,27793,11658,1565,38,11.8,34
250,26493,10003,1166,23,20.5,-0.6
